wave,flux
3700.85,-3.79312246892983e-05
3701.75,-3.7163824978311416e-05
3702.65,-3.546065796131657e-05
3703.55,-3.2881917360812746e-05
3704.45,-3.0066165222855315e-05
3705.35,-2.731445995088584e-05
3706.25,-2.5209760566620672e-05
3707.15,-2.390307840939146e-05
3708.05,-2.3748969483147e-05
3708.96,-2.47132324837275e-05
3709.86,-2.672508369161367e-05
3710.76,-2.9725426904822315e-05
3711.66,-3.330725467137985e-05
3712.56,-3.670516999917225e-05
3713.46,-3.942545740813483e-05
3714.36,-4.108937692208689e-05
3715.26,-4.085613188534266e-05
3716.16,-3.901814030136614e-05
3717.06,-3.6272353227330795e-05
3717.96,-3.227543035503844e-05
3718.86,-2.8378379862252735e-05
3719.76,-2.457756994121571e-05
3720.66,-2.184856461160569e-05
3721.56,-2.0397931746891886e-05
3722.46,-2.084030094876273e-05
3723.36,-2.270132521159489e-05
3724.26,-2.5096439020252516e-05
3725.16,-2.783411538220522e-05
3726.06,-2.974532464053935e-05
3726.96,-3.0654038935740125e-05
3727.86,-3.103715760611374e-05
3728.76,-3.091049754703578e-05
3729.66,-3.0284551201597952e-05
3730.56,-2.9415991780181627e-05
3731.46,-2.796738702927965e-05
3732.36,-2.5616513738395314e-05
3733.26,-2.3039197757496123e-05
3734.16,-2.0328290793027613e-05
3735.06,-1.8110147721050992e-05
3735.96,-1.708199535138668e-05
3736.86,-1.7395607418946225e-05
3737.76,-1.897710768577738e-05
3738.66,-2.1625816127583056e-05
3739.56,-2.4628929067371716e-05
3740.46,-2.7488572250287373e-05
3741.36,-2.922384943549481e-05
3742.26,-2.9472212569654924e-05
3743.16,-2.835624444976155e-05
3744.06,-2.632626895696593e-05
3744.96,-2.3969254573309184e-05
3745.86,-2.1737752090286796e-05
3746.76,-2.0212110934148727e-05
3747.67,-1.928041916931253e-05
3748.57,-1.916995610087543e-05
3749.47,-2.0114764230110186e-05
3750.37,-2.2061776230841957e-05
3751.27,-2.522686725639551e-05
3752.17,-2.9220803673249577e-05
