wave,flux
3700.85,-6.538861469692742e-07
3701.75,-6.458119063909201e-07
3702.65,-6.179560167303155e-07
3703.55,-5.801397459660963e-07
3704.45,-5.417269235848538e-07
3705.35,-5.024469616341158e-07
3706.25,-4.7324671056526215e-07
3707.15,-4.579946977709447e-07
3708.05,-4.5425861884054405e-07
3708.96,-4.684036972095485e-07
3709.86,-4.936401315669609e-07
3710.76,-5.304660307242587e-07
3711.66,-5.744119534760578e-07
3712.56,-6.19579699154571e-07
3713.46,-6.558481368428787e-07
3714.36,-6.84026357021508e-07
3715.26,-6.904949748919811e-07
3716.16,-6.764776707191614e-07
3717.06,-6.442455641878839e-07
3717.96,-5.984979606977693e-07
3718.86,-5.433776631356581e-07
3719.76,-4.857946048906809e-07
3720.66,-4.417310560737174e-07
3721.56,-4.1557097510812884e-07
3722.46,-4.160923330456666e-07
3723.36,-4.460133606254046e-07
3724.26,-4.83498883317791e-07
3725.16,-5.230144650566357e-07
3726.06,-5.546156242888666e-07
3726.96,-5.707357208766411e-07
3727.86,-5.802396385167859e-07
3728.76,-5.799243728476843e-07
3729.66,-5.711892995592375e-07
3730.56,-5.629682941410831e-07
3731.46,-5.361193511822821e-07
3732.36,-5.01772315076933e-07
3733.26,-4.591166130546529e-07
3734.16,-4.1165033103708897e-07
3735.06,-3.7791275505245396e-07
3735.96,-3.588873753389926e-07
3736.86,-3.617385186495695e-07
3737.76,-3.871138363756481e-07
3738.66,-4.298907700424507e-07
3739.56,-4.788672957000762e-07
3740.46,-5.230701912128503e-07
3741.36,-5.525170554842158e-07
3742.26,-5.590487616598756e-07
3743.16,-5.463042651425288e-07
3744.06,-5.160576979013831e-07
3744.96,-4.790309166590848e-07
3745.86,-4.456281350385639e-07
3746.76,-4.156755008069064e-07
3747.67,-3.948900003181941e-07
3748.57,-3.8723925182725304e-07
3749.47,-3.8977661531243466e-07
3750.37,-4.1452709617519457e-07
3751.27,-4.568283318269508e-07
3752.17,-5.117168788763766e-07
3753.07,-5.725611243173944e-07
3753.97,-6.278752123417251e-07
3754.87,-6.611715161321105e-07
3755.77,-6.759766161385982e-07
3756.67,-6.659864772190415e-07
3757.57,-6.352404352875539e-07
3758.47,-6.005432893330936e-07
3759.37,-5.742621217556782e-07
3760.27,-5.59704286290813e-07
3761.17,-5.638567796440078e-07
3762.07,-5.749052159801028e-07
3762.97,-5.86709702027989e-07
3763.87,-5.968993354059657e-07
3764.77,-5.99980753957959e-07
3765.67,-6.047208462889782e-07
3766.57,-6.09763745465752e-07
3767.47,-6.195139020864521e-07
3768.37,-6.31255914041846e-07
3769.27,-6.51641410083412e-07
3770.17,-6.770385815232223e-07
3771.07,-7.00090786677827e-07
3771.97,-7.297697181812315e-07
3772.87,-7.532610836666538e-07
3773.77,-7.773471088785096e-07
3774.67,-7.938367368742809e-07
3775.57,-8.03166769357038e-07
3776.47,-8.100394123993571e-07
3777.37,-8.210136873299269e-07
3778.27,-8.294502599161026e-07
3779.17,-8.413617740206391e-07
3780.07,-8.59213329111723e-07
3780.97,-8.787669563803902e-07
3781.87,-8.887796397031991e-07
3782.77,-9.0067725078378e-07
3783.67,-8.996947662713591e-07
3784.57,-8.825711225876058e-07
3785.47,-8.56799556910833e-07
3786.38,-8.169438894934036e-07
3787.28,-7.689440997935744e-07
3788.18,-7.369686937741352e-07
3789.08,-7.061314954151751e-07
3789.98,-6.963566630973947e-07
3790.88,-6.933424140727643e-07
3791.78,-6.998986115797105e-07
3792.68,-6.988951882879797e-07
3793.58,-6.9570099050755e-07
3794.48,-6.792405992079355e-07
3795.38,-6.664874266199368e-07
3796.28,-6.442459168797068e-07
3797.18,-6.319389926274379e-07
3798.08,-6.211615054539659e-07
3798.98,-6.240499896181264e-07
3799.88,-6.461956961025477e-07
3800.78,-6.803210337334123e-07
3801.68,-7.326130354655e-07
3802.58,-7.834675960974635e-07
3803.48,-8.271363514211e-07
3804.38,-8.592196333327464e-07
3805.28,-8.728761377937124e-07
3806.18,-8.747892773753802e-07
3807.08,-8.693853501807763e-07
3807.98,-8.651740162447794e-07
3808.88,-8.655096914216595e-07
3809.78,-8.741658026228949e-07
3810.68,-8.805518003112954e-07
3811.58,-8.721849207328383e-07
3812.48,-8.510489886209857e-07
3813.38,-8.111756838672999e-07
3814.28,-7.655054489255852e-07
3815.18,-7.23898058310296e-07
3816.08,-6.944706012146754e-07
3816.98,-6.74299209761717e-07
3817.88,-6.617682061762811e-07
3818.78,-6.479852604044123e-07
3819.68,-6.366466059781329e-07
3820.58,-6.220005283563019e-07
3821.48,-6.093270183082185e-07
3822.38,-6.003396360424925e-07
3823.28,-5.913456653082132e-07
3824.18,-5.771028229240697e-07
3825.09,-5.601813325962551e-07
3825.99,-5.387179778154468e-07
3826.89,-5.220252473332968e-07
3827.79,-5.136345160440438e-07
3828.69,-5.134413889468461e-07
3829.59,-5.206937085573748e-07
3830.49,-5.261291252052962e-07
3831.39,-5.22072517645003e-07
3832.29,-5.18333685904403e-07
3833.19,-5.092242594110205e-07
3834.09,-5.04210478470238e-07
3834.99,-5.00801273173337e-07
3835.89,-5.069110258091105e-07
3836.79,-5.134157739909668e-07
3837.69,-5.199156718095741e-07
3838.59,-5.219236823016512e-07
3839.49,-5.276415859363497e-07
3840.39,-5.498930095616573e-07
3841.29,-5.821120009449721e-07
3842.19,-6.341896865077512e-07
3843.09,-6.907884903513027e-07
3843.99,-7.470624311358373e-07
3844.89,-7.981087806592537e-07
3845.79,-8.297290929977503e-07
3846.69,-8.530527556576217e-07
3847.59,-8.60808691020931e-07
3848.49,-8.588665376472395e-07
3849.39,-8.534083905092954e-07
3850.29,-8.471669699470387e-07
