wave,flux
3700.85,-3.322026495231247e-07
3701.75,-3.285606136131517e-07
3702.65,-3.1696332963905677e-07
3703.55,-3.00369646151405e-07
3704.45,-2.820796677618201e-07
3705.35,-2.665089183382305e-07
3706.25,-2.5397592530542647e-07
3707.15,-2.47761235238078e-07
3708.05,-2.483899881863707e-07
3708.96,-2.5241704506973274e-07
3709.86,-2.622941251469873e-07
3710.76,-2.7477857708454e-07
3711.66,-2.9116359466377333e-07
3712.56,-3.088517641371574e-07
3713.46,-3.240636306648253e-07
3714.36,-3.366930977065707e-07
3715.26,-3.430757803118253e-07
3716.16,-3.4140948552706373e-07
3717.06,-3.3254851089622734e-07
3717.96,-3.1531111574439966e-07
3718.86,-2.9186821199589565e-07
3719.76,-2.6966935426206177e-07
3720.66,-2.47695393514702e-07
3721.56,-2.3487313015124902e-07
3722.46,-2.328908072016423e-07
3723.36,-2.4231859032455426e-07
3724.26,-2.5767915468342754e-07
3725.16,-2.7677578242559395e-07
3726.06,-2.907633083435743e-07
3726.96,-2.99445714043821e-07
3727.86,-3.0159333570036683e-07
3728.76,-3.0205540677314706e-07
3729.66,-2.993929085766157e-07
3730.56,-2.919211388060617e-07
3731.46,-2.822573268295204e-07
3732.36,-2.6442165673917755e-07
3733.26,-2.443654165609768e-07
3734.16,-2.2440339113809394e-07
3735.06,-2.085445082124041e-07
3735.96,-2.02641918963852e-07
3736.86,-2.0558465313246064e-07
3737.76,-2.1828785598594442e-07
3738.66,-2.3883186745090605e-07
3739.56,-2.603698714526783e-07
3740.46,-2.8050376920097415e-07
3741.36,-2.932687650310249e-07
3742.26,-2.976889518028756e-07
3743.16,-2.904958483763301e-07
3744.06,-2.7975863033308037e-07
3744.96,-2.6341533851295917e-07
3745.86,-2.4853802273140003e-07
3746.76,-2.3505038843871813e-07
3747.67,-2.2259349552525448e-07
3748.57,-2.147942947982023e-07
3749.47,-2.1236579008244668e-07
3750.37,-2.1906607650779598e-07
3751.27,-2.341695034212145e-07
3752.17,-2.5782777133243744e-07
3753.07,-2.836724874380802e-07
3753.97,-3.0824169602782463e-07
3754.87,-3.248925091696803e-07
3755.77,-3.334124752983824e-07
3756.67,-3.314870707533651e-07
3757.57,-3.2058586779906354e-07
3758.47,-3.0583970488690933e-07
3759.37,-2.9506946851392706e-07
3760.27,-2.894063535224854e-07
3761.17,-2.9114691218973186e-07
3762.07,-2.952349540965435e-07
3762.97,-3.0130477495956264e-07
3763.87,-3.0549640237522183e-07
3764.77,-3.0772010043399273e-07
3765.67,-3.075940167264475e-07
3766.57,-3.057775977457711e-07
3767.47,-3.060033920934218e-07
3768.37,-3.0434759927724444e-07
3769.27,-3.038599169006925e-07
3770.17,-3.0697536709751926e-07
3771.07,-3.134965661709282e-07
3771.97,-3.215868088295728e-07
3772.87,-3.335646961318107e-07
3773.77,-3.4615929334790677e-07
3774.67,-3.5578950334869385e-07
3775.57,-3.631203119542517e-07
3776.47,-3.682071277644302e-07
3777.37,-3.7690084974127575e-07
3778.27,-3.8235328862138453e-07
3779.17,-3.876270991120593e-07
3780.07,-3.973059462709683e-07
3780.97,-4.0600803362043277e-07
3781.87,-4.135385003250954e-07
3782.77,-4.180191236488925e-07
3783.67,-4.1647562082636177e-07
3784.57,-4.089938633718986e-07
3785.47,-3.9781861437793345e-07
3786.38,-3.827280607534686e-07
3787.28,-3.679827090828335e-07
3788.18,-3.523022045880891e-07
3789.08,-3.404711630327726e-07
3789.98,-3.335562191353502e-07
3790.88,-3.3163900974772456e-07
3791.78,-3.290922255668347e-07
3792.68,-3.269705904119649e-07
3793.58,-3.2253310576671893e-07
3794.48,-3.1484211306889567e-07
3795.38,-3.032153617106137e-07
3796.28,-2.92406475967142e-07
3797.18,-2.831342495348054e-07
3798.08,-2.7766288817016824e-07
3798.98,-2.779409040052019e-07
3799.88,-2.869707667822185e-07
3800.78,-3.0386749680198107e-07
3801.68,-3.256035604154761e-07
3802.58,-3.4830720289260315e-07
3803.48,-3.700352023933523e-07
3804.38,-3.8244158464061685e-07
3805.28,-3.9018509838425367e-07
3806.18,-3.908352864323388e-07
3807.08,-3.91354731124706e-07
3807.98,-3.9418476954815524e-07
3808.88,-3.9675667675437286e-07
3809.78,-3.999294657971386e-07
3810.68,-4.0185093342941464e-07
3811.58,-3.9977624433336287e-07
3812.48,-3.899963858109748e-07
3813.38,-3.785319698300582e-07
3814.28,-3.613629938181665e-07
3815.18,-3.448419870539728e-07
3816.08,-3.3517323818520804e-07
3816.98,-3.2870861769060777e-07
3817.88,-3.264619908482224e-07
3818.78,-3.2338442191425007e-07
3819.68,-3.1991967515269845e-07
3820.58,-3.1461307491523664e-07
3821.48,-3.100996278985456e-07
3822.38,-3.055977354828008e-07
