wave,flux
3700.85,0.29984
3701.75,0.29635
3702.65,0.28719
3703.55,0.27625
3704.45,0.26258
3705.35,0.25043
3706.25,0.24427
3707.15,0.24187
3708.05,0.24305
3708.96,0.24715
3709.86,0.25116
3710.76,0.25712
3711.66,0.26541
3712.56,0.27445
3713.46,0.28493
3714.36,0.29649
3715.26,0.30399
3716.16,0.30761
3717.06,0.30355
3717.96,0.29571
3718.86,0.28216
3719.76,0.26486
3720.66,0.247
3721.56,0.23487
3722.46,0.23103
3723.36,0.23616
3724.26,0.24757
3725.16,0.26131
3726.06,0.27597
3726.96,0.28387
3727.86,0.28759
3728.76,0.28889
3729.66,0.28647
3730.56,0.28126
3731.46,0.27136
3732.36,0.25725
3733.26,0.23972
3734.16,0.22265
3735.06,0.20948
3735.96,0.20607
3736.86,0.20998
3737.76,0.22187
3738.66,0.239
3739.56,0.25943
3740.46,0.27557
3741.36,0.28534
3742.26,0.2908
3743.16,0.28724
3744.06,0.27909
3744.96,0.26841
3745.86,0.25599
3746.76,0.24323
3747.67,0.23001
3748.57,0.21859
3749.47,0.21098
3750.37,0.21187
3751.27,0.22042
3752.17,0.23613
3753.07,0.25717
3753.97,0.27816
3754.87,0.29501
3755.77,0.30467
3756.67,0.3062
3757.57,0.30144
3758.47,0.29341
3759.37,0.28786
3760.27,0.28418
3761.17,0.28555
3762.07,0.28821
3762.97,0.29448
3763.87,0.2968
3764.77,0.2979
3765.67,0.29726
3766.57,0.2921
3767.47,0.28627
3768.37,0.27806
3769.27,0.27081
3770.17,0.26642
3771.07,0.26671
3771.97,0.27044
3772.87,0.27896
3773.77,0.29056
3774.67,0.30189
3775.57,0.31103
3776.47,0.32004
3777.37,0.32822
3778.27,0.33782
3779.17,0.34633
3780.07,0.35462
3780.97,0.36079
3781.87,0.3668
3782.77,0.36953
3783.67,0.36996
3784.57,0.36704
3785.47,0.35843
3786.38,0.35042
3787.28,0.33789
3788.18,0.32868
3789.08,0.32141
3789.98,0.31646
3790.88,0.31126
3791.78,0.30737
3792.68,0.3027
3793.58,0.29359
3794.48,0.28408
3795.38,0.27112
3796.28,0.25875
3797.18,0.24778
3798.08,0.24131
3798.98,0.24093
3799.88,0.24648
3800.78,0.26084
3801.68,0.28234
3802.58,0.30099
3803.48,0.31929
3804.38,0.33289
3805.28,0.34178
3806.18,0.34603
3807.08,0.34932
3807.98,0.35164
3808.88,0.35585
3809.78,0.3605
3810.68,0.36404
3811.58,0.36305
3812.48,0.35872
3813.38,0.34959
3814.28,0.33988
3815.18,0.33115
3816.08,0.32808
3816.98,0.32351
3817.88,0.3253
3818.78,0.32504
3819.68,0.32202
3820.58,0.3201
3821.48,0.31591
3822.38,0.31386
3823.28,0.30796
3824.18,0.30175
3825.09,0.29564
3825.99,0.28708
3826.89,0.28033
3827.79,0.27385
3828.69,0.26915
3829.59,0.26422
3830.49,0.25765
3831.39,0.2491
3832.29,0.2375
3833.19,0.2257
3834.09,0.21437
3834.99,0.20653
3835.89,0.20321
3836.79,0.20291
3837.69,0.20777
3838.59,0.21456
3839.49,0.22562
3840.39,0.23834
3841.29,0.25507
3842.19,0.27263
3843.09,0.29089
3843.99,0.3071
3844.89,0.31955
3845.79,0.33238
3846.69,0.33875
3847.59,0.34462
3848.49,0.34869
3849.39,0.35176
3850.29,0.35298
3851.19,0.35582
3852.09,0.35717
3852.99,0.35931
3853.89,0.36111
3854.79,0.35761
3855.69,0.35396
3856.59,0.34953
3857.49,0.34257
3858.39,0.33716
3859.29,0.33299
3860.19,0.33154
3861.09,0.3361
3861.99,0.3422
3862.9,0.35132
3863.8,0.36103
3864.7,0.36776
3865.6,0.37097
3866.5,0.37079
3867.4,0.37058
3868.3,0.36729
3869.2,0.36558
3870.1,0.35788
3871.0,0.3512
3871.9,0.34424
3872.8,0.33737
3873.7,0.33492
3874.6,0.33522
3875.5,0.33647
3876.4,0.33753
3877.3,0.33514
3878.2,0.3316
3879.1,0.32772
3880.0,0.3252
3880.9,0.32221
3881.8,0.32036
3882.7,0.31733
3883.6,0.31113
3884.5,0.3036
3885.4,0.29295
3886.3,0.27809
3887.2,0.26644
3888.1,0.25354
3889.0,0.24815
3889.9,0.24775
3890.8,0.25426
3891.7,0.26764
3892.6,0.28183
3893.5,0.29403
3894.4,0.30583
3895.3,0.31597
3896.2,0.324
3897.1,0.32966
3898.0,0.33601
3898.9,0.33994
3899.8,0.34572
3900.7,0.34777
3901.6,0.35153
3902.51,0.35307
3903.41,0.35273
3904.31,0.35004
3905.21,0.34897
3906.11,0.34979
3907.01,0.35238
3907.91,0.35754
3908.81,0.36547
3909.71,0.37558
3910.61,0.38402
3911.51,0.3905
3912.41,0.39364
3913.31,0.39446
3914.21,0.3927
3915.11,0.38989
3916.01,0.38533
3916.91,0.38113
3917.81,0.37429
3918.71,0.36963
3919.61,0.36466
3920.51,0.35737
3921.41,0.35507
3922.31,0.3514
3923.21,0.34811
3924.11,0.34593
3925.01,0.3386
3925.91,0.33017
3926.81,0.3161
3927.71,0.2967
3928.61,0.27491
3929.51,0.24743
3930.41,0.22122
3931.31,0.19326
3932.21,0.16821
3933.11,0.14819
3934.01,0.13631
3934.91,0.13374
3935.81,0.14215
3936.71,0.16053
3937.61,0.18357
3938.51,0.21166
3939.42,0.24004
3940.32,0.26383
3941.22,0.2855
3942.12,0.30118
3943.02,0.31438
3943.92,0.32258
3944.82,0.33047
3945.72,0.33767
3946.62,0.34662
3947.52,0.35507
3948.42,0.36023
3949.32,0.36667
3950.22,0.36932
3951.12,0.3731
3952.02,0.37603
3952.92,0.37717
3953.82,0.37709
3954.72,0.37635
3955.62,0.37644
3956.52,0.37377
3957.42,0.37013
3958.32,0.36624
3959.22,0.35889
3960.12,0.35032
3961.02,0.33601
3961.92,0.31967
3962.82,0.3006
3963.72,0.27932
3964.62,0.25567
3965.52,0.23011
3966.42,0.20461
3967.32,0.18055
3968.22,0.15882
3969.12,0.14552
3970.02,0.14089
3970.92,0.14756
3971.82,0.16308
3972.72,0.18507
3973.62,0.21205
3974.52,0.23965
3975.42,0.26501
3976.32,0.28975
3977.22,0.3128
3978.13,0.3317
3979.03,0.34973
3979.93,0.36455
3980.83,0.37367
3981.73,0.3819
3982.63,0.38507
3983.53,0.38804
3984.43,0.39329
3985.33,0.39683
3986.23,0.39991
3987.13,0.40661
3988.03,0.4097
3988.93,0.41519
3989.83,0.41833
3990.73,0.42217
3991.63,0.42847
3992.53,0.43071
3993.43,0.431
3994.33,0.42938
3995.23,0.42805
3996.13,0.42537
3997.03,0.42252
3997.93,0.4209
3998.83,0.42277
3999.73,0.42474
4000.63,0.43302
4001.53,0.43867
4002.43,0.43995
4003.33,0.43986
4004.23,0.43834
4005.13,0.43047
4006.03,0.42608
4006.93,0.42587
4007.83,0.42781
4008.73,0.43024
4009.63,0.43879
4010.53,0.44484
4011.43,0.44663
4012.33,0.45227
4013.23,0.45231
4014.13,0.45414
4015.03,0.45408
4015.93,0.45511
4016.84,0.45646
4017.74,0.45435
