wave,flux
3700.85,-5.4654878586113024e-05
3701.75,-5.371517658794994e-05
3702.65,-5.170191090384792e-05
3703.55,-4.8483572497577756e-05
3704.45,-4.509600467101263e-05
3705.35,-4.1772021364140924e-05
3706.25,-3.91731185293671e-05
3707.15,-3.784544258369376e-05
3708.05,-3.772640347252913e-05
3708.96,-3.8867495912398554e-05
3709.86,-4.123219434915975e-05
3710.76,-4.4569556063502284e-05
3711.66,-4.862718826687171e-05
3712.56,-5.2866831281918326e-05
3713.46,-5.639916690193035e-05
3714.36,-5.8617511795786033e-05
3715.26,-5.938114237244633e-05
3716.16,-5.809107398615892e-05
3717.06,-5.507721056731534e-05
3717.96,-5.1089042636009976e-05
3718.86,-4.5861328931615595e-05
3719.76,-4.113378952435433e-05
3720.66,-3.701510127418691e-05
3721.56,-3.503691639811008e-05
3722.46,-3.5288479873139636e-05
3723.36,-3.766480526074613e-05
3724.26,-4.1225949115205095e-05
3725.16,-4.498576674999091e-05
3726.06,-4.792630897288147e-05
3726.96,-4.960005451283793e-05
3727.86,-5.051226465698438e-05
3728.76,-5.021934106983046e-05
3729.66,-4.978224577501547e-05
3730.56,-4.870320106395492e-05
3731.46,-4.672295116327815e-05
3732.36,-4.358174355501958e-05
3733.26,-3.960721248968179e-05
3734.16,-3.559322888815477e-05
3735.06,-3.251618851823597e-05
3735.96,-3.0995150961402725e-05
3736.86,-3.128732596890081e-05
3737.76,-3.3687756944751404e-05
3738.66,-3.766822747726266e-05
3739.56,-4.2384415917784594e-05
3740.46,-4.6470074599442414e-05
3741.36,-4.9212248965416014e-05
3742.26,-4.998244710360096e-05
3743.16,-4.84876247726506e-05
3744.06,-4.584465080481421e-05
3744.96,-4.259569364564658e-05
3745.86,-3.945984354223548e-05
3746.76,-3.676697951226567e-05
3747.67,-3.507206937219672e-05
3748.57,-3.449022383812787e-05
3749.47,-3.5056327200226614e-05
3750.37,-3.758611240503561e-05
3751.27,-4.184947804566528e-05
3752.17,-4.7401905262460976e-05
3753.07,-5.313696203177906e-05
3753.97,-5.855990692598664e-05
3754.87,-6.200353632960782e-05
3755.77,-6.315567911104908e-05
3756.67,-6.206433126044587e-05
3757.57,-5.96060158858151e-05
3758.47,-5.6037453232034496e-05
3759.37,-5.3511827934537324e-05
3760.27,-5.250190136207653e-05
