wave,flux
3700.85,-3.7767231253597343e-07
3701.75,-3.73899401754184e-07
3702.65,-3.616937494019626e-07
3703.55,-3.426554246698057e-07
3704.45,-3.2426789032363853e-07
3705.35,-3.086020697123749e-07
3706.25,-2.953274712706058e-07
3707.15,-2.91061014663851e-07
3708.05,-2.918278719756232e-07
3708.96,-2.9709688390741555e-07
3709.86,-3.053319224145482e-07
3710.76,-3.182064115687709e-07
3711.66,-3.349052869997276e-07
3712.56,-3.4983140629300317e-07
3713.46,-3.667502026272335e-07
3714.36,-3.804378895082664e-07
3715.26,-3.8909977709785236e-07
3716.16,-3.8965523626541707e-07
3717.06,-3.834543651780786e-07
3717.96,-3.672067008334947e-07
3718.86,-3.4664788792685644e-07
3719.76,-3.1978849525947274e-07
3720.66,-2.980246436028727e-07
3721.56,-2.820005347342656e-07
3722.46,-2.783244089139089e-07
3723.36,-2.8758390252975813e-07
3724.26,-3.049572711671487e-07
3725.16,-3.2377818170331927e-07
3726.06,-3.416462548159645e-07
3726.96,-3.5110171649927287e-07
3727.86,-3.561392547346812e-07
3728.76,-3.5576174499804693e-07
3729.66,-3.542665566702779e-07
3730.56,-3.4571091738736355e-07
3731.46,-3.3306029955610854e-07
3732.36,-3.141939766838466e-07
3733.26,-2.9282367180167304e-07
3734.16,-2.702480582447046e-07
3735.06,-2.533083499751275e-07
3735.96,-2.46894917907923e-07
3736.86,-2.4998438524372303e-07
3737.76,-2.658079029629231e-07
3738.66,-2.887459878931435e-07
3739.56,-3.1472268334623514e-07
3740.46,-3.3700814885343813e-07
3741.36,-3.5235950263790507e-07
3742.26,-3.582301998572412e-07
3743.16,-3.5104508619352974e-07
3744.06,-3.388880064131549e-07
3744.96,-3.220137844929098e-07
3745.86,-3.0538982753009637e-07
3746.76,-2.890511015012344e-07
3747.67,-2.7443410695530114e-07
3748.57,-2.631078401297922e-07
3749.47,-2.5701810438742155e-07
3750.37,-2.6259772887109736e-07
3751.27,-2.775919045781995e-07
3752.17,-3.019986245580903e-07
3753.07,-3.3325823106662216e-07
3753.97,-3.592790091655916e-07
3754.87,-3.801633048314054e-07
3755.77,-3.9401598258827954e-07
3756.67,-3.913805136372478e-07
3757.57,-3.82541016617952e-07
3758.47,-3.6692311509000183e-07
3759.37,-3.5568130016944743e-07
3760.27,-3.515676810020781e-07
3761.17,-3.5285519211655647e-07
3762.07,-3.5808660394396153e-07
3762.97,-3.647897810250125e-07
3763.87,-3.700461572612989e-07
3764.77,-3.724046688305483e-07
3765.67,-3.708262176183838e-07
3766.57,-3.678816815911147e-07
3767.47,-3.6295447191697063e-07
3768.37,-3.575604919844008e-07
3769.27,-3.5378335025797904e-07
3770.17,-3.5436532042814147e-07
3771.07,-3.589526226643595e-07
3771.97,-3.6743598752757824e-07
3772.87,-3.7949437684165827e-07
3773.77,-3.933777343554789e-07
3774.67,-4.08104260814646e-07
3775.57,-4.183775513510271e-07
3776.47,-4.283557415290179e-07
3777.37,-4.370994184804623e-07
3778.27,-4.489824409138672e-07
3779.17,-4.57236757007198e-07
3780.07,-4.689917941073869e-07
3780.97,-4.769137385283335e-07
3781.87,-4.853698604468402e-07
3782.77,-4.902616129938785e-07
3783.67,-4.903808047735573e-07
3784.57,-4.838882826707888e-07
3785.47,-4.724248804977698e-07
3786.38,-4.574120799691998e-07
3787.28,-4.393277114216515e-07
3788.18,-4.241092756498872e-07
3789.08,-4.128091620639157e-07
3789.98,-4.0374963680909186e-07
3790.88,-4.007394569853627e-07
3791.78,-3.9855149355293876e-07
3792.68,-3.924219112377427e-07
3793.58,-3.8445200010943426e-07
3794.48,-3.7278945414899857e-07
3795.38,-3.5914273045824803e-07
3796.28,-3.4551844700079967e-07
3797.18,-3.3206200821613385e-07
3798.08,-3.255375120493851e-07
3798.98,-3.2409423252590554e-07
3799.88,-3.352397096928582e-07
3800.78,-3.5631749738450476e-07
3801.68,-3.8020190903471847e-07
3802.58,-4.0911535627623856e-07
3803.48,-4.335184062764157e-07
3804.38,-4.51635656071067e-07
3805.28,-4.618853512591287e-07
3806.18,-4.667018876605404e-07
3807.08,-4.6733545116550306e-07
3807.98,-4.6953522722730495e-07
3808.88,-4.7365695286728056e-07
3809.78,-4.804640699224054e-07
3810.68,-4.84625544400969e-07
3811.58,-4.824875758430206e-07
3812.48,-4.744727114320708e-07
3813.38,-4.598187310418427e-07
3814.28,-4.4182561642522585e-07
3815.18,-4.272472408428915e-07
3816.08,-4.167096464388557e-07
3816.98,-4.117546245509649e-07
3817.88,-4.113945239232199e-07
3818.78,-4.0995010035894983e-07
3819.68,-4.0738017780956735e-07
3820.58,-4.0208991297929526e-07
3821.48,-3.973677761342758e-07
3822.38,-3.904580073826577e-07
3823.28,-3.8693127457839745e-07
3824.18,-3.800299719811041e-07
3825.09,-3.6933291761331446e-07
3825.99,-3.576631587884504e-07
3826.89,-3.482679336131768e-07
3827.79,-3.397761126143654e-07
3828.69,-3.3710859365396313e-07
3829.59,-3.336391529978066e-07
3830.49,-3.2900477979234825e-07
3831.39,-3.208478108850703e-07
3832.29,-3.10942174386187e-07
3833.19,-2.9726511991080245e-07
3834.09,-2.862414102961294e-07
3834.99,-2.7963478871416733e-07
3835.89,-2.7585707887608244e-07
3836.79,-2.775559768519552e-07
3837.69,-2.825500240813885e-07
3838.59,-2.904867657487095e-07
3839.49,-3.024314911150095e-07
3840.39,-3.1743806528562844e-07
3841.29,-3.379204878566102e-07
3842.19,-3.6487964106973367e-07
3843.09,-3.906489675609621e-07
3843.99,-4.1205999503479445e-07
3844.89,-4.341389251951895e-07
3845.79,-4.486108703198023e-07
3846.69,-4.6050243768759114e-07
3847.59,-4.6862203982966476e-07
3848.49,-4.7388791103645387e-07
3849.39,-4.7376406400503646e-07
3850.29,-4.7511782881126057e-07
3851.19,-4.774480420493276e-07
3852.09,-4.792372474274121e-07
3852.99,-4.805811385032797e-07
3853.89,-4.800123042147582e-07
3854.79,-4.795590103240278e-07
3855.69,-4.703863721756627e-07
3856.59,-4.5868110692161406e-07
3857.49,-4.4967727004386994e-07
3858.39,-4.3882339321219984e-07
3859.29,-4.326870306460242e-07
3860.19,-4.3359047638181195e-07
3861.09,-4.387768038424044e-07
3861.99,-4.5369305428269205e-07
3862.9,-4.7021239332395625e-07
3863.8,-4.851802737727573e-07
3864.7,-4.973086438703285e-07
3865.6,-5.050592751981995e-07
3866.5,-5.040056489942306e-07
3867.4,-5.002833480050977e-07
3868.3,-4.966114563428351e-07
3869.2,-4.89819746299023e-07
3870.1,-4.817138418145778e-07
3871.0,-4.708900323161983e-07
3871.9,-4.5951985531074635e-07
3872.8,-4.539522144371978e-07
3873.7,-4.5557164042399633e-07
3874.6,-4.5912220956807685e-07
3875.5,-4.6603823287777966e-07
3876.4,-4.7228571525825973e-07
3877.3,-4.6961978308517276e-07
3878.2,-4.643038847913841e-07
3879.1,-4.622473615572895e-07
3880.0,-4.550889114845265e-07
3880.9,-4.526713539933434e-07
3881.8,-4.51909892673227e-07
3882.7,-4.483046415858969e-07
3883.6,-4.4347112480698596e-07
