wave,flux
3700.85,0.33853
3701.75,0.33564
3702.65,0.32456
3703.55,0.31114
3704.45,0.29603
3705.35,0.28048
3706.25,0.27254
3707.15,0.26827
3708.05,0.27031
3708.96,0.27522
3709.86,0.28129
3710.76,0.28823
3711.66,0.29723
3712.56,0.30953
3713.46,0.32197
3714.36,0.33512
3715.26,0.34261
3716.16,0.34813
3717.06,0.34321
3717.96,0.33337
3718.86,0.31527
3719.76,0.29555
3720.66,0.27582
3721.56,0.26141
3722.46,0.25714
3723.36,0.2634
3724.26,0.27712
3725.16,0.29408
3726.06,0.30772
3726.96,0.31663
3727.86,0.31983
3728.76,0.32289
3729.66,0.31964
3730.56,0.31372
3731.46,0.30125
3732.36,0.28534
3733.26,0.26448
3734.16,0.2462
3735.06,0.23304
3735.96,0.22781
3736.86,0.2325
3737.76,0.24584
3738.66,0.26532
3739.56,0.28798
3740.46,0.30651
3741.36,0.31849
3742.26,0.32206
3743.16,0.31893
3744.06,0.31091
3744.96,0.2972
3745.86,0.28278
3746.76,0.26675
3747.67,0.25248
3748.57,0.24029
3749.47,0.23304
3750.37,0.23393
3751.27,0.24472
3752.17,0.26389
3753.07,0.2869
3753.97,0.31034
3754.87,0.32985
3755.77,0.33997
3756.67,0.34205
3757.57,0.33635
3758.47,0.32765
3759.37,0.31894
3760.27,0.31381
3761.17,0.31471
3762.07,0.32035
3762.97,0.32524
3763.87,0.32732
3764.77,0.32891
3765.67,0.32733
3766.57,0.32386
3767.47,0.31469
3768.37,0.30519
3769.27,0.30015
3770.17,0.296
3771.07,0.29563
3771.97,0.3025
3772.87,0.31153
3773.77,0.32261
3774.67,0.33805
3775.57,0.34923
3776.47,0.35785
3777.37,0.36734
3778.27,0.37673
3779.17,0.38626
3780.07,0.39598
3780.97,0.40468
3781.87,0.40921
3782.77,0.41533
3783.67,0.41401
3784.57,0.40936
3785.47,0.40087
3786.38,0.38812
3787.28,0.37622
3788.18,0.36431
3789.08,0.35309
3789.98,0.34939
3790.88,0.34389
3791.78,0.34013
3792.68,0.33251
3793.58,0.32468
3794.48,0.31202
3795.38,0.29867
3796.28,0.28476
3797.18,0.2723
3798.08,0.26472
3798.98,0.26373
3799.88,0.27336
3800.78,0.28934
3801.68,0.31034
3802.58,0.33417
3803.48,0.35348
3804.38,0.36991
3805.28,0.37982
3806.18,0.38403
3807.08,0.38756
3807.98,0.39011
3808.88,0.39577
3809.78,0.40149
3810.68,0.40316
3811.58,0.4029
3812.48,0.39607
3813.38,0.38651
3814.28,0.37514
3815.18,0.36501
3816.08,0.35864
3816.98,0.35715
3817.88,0.3564
3818.78,0.35703
3819.68,0.35522
3820.58,0.35205
3821.48,0.34758
3822.38,0.34335
3823.28,0.33659
3824.18,0.33238
3825.09,0.32392
3825.99,0.31445
3826.89,0.30527
3827.79,0.29726
3828.69,0.29381
3829.59,0.28733
3830.49,0.28202
3831.39,0.2716
3832.29,0.26151
3833.19,0.24789
3834.09,0.23622
3834.99,0.22657
3835.89,0.2236
3836.79,0.22362
3837.69,0.22807
3838.59,0.23644
3839.49,0.24775
3840.39,0.26327
3841.29,0.2806
3842.19,0.30061
3843.09,0.31943
3843.99,0.33795
3844.89,0.35365
3845.79,0.36591
3846.69,0.37494
3847.59,0.38041
3848.49,0.38523
3849.39,0.38739
3850.29,0.38947
3851.19,0.39225
3852.09,0.39407
3852.99,0.39654
3853.89,0.39734
3854.79,0.39393
3855.69,0.39161
3856.59,0.38568
3857.49,0.37744
3858.39,0.37214
3859.29,0.36757
3860.19,0.36749
3861.09,0.37235
3861.99,0.38022
3862.9,0.39058
3863.8,0.39878
3864.7,0.40687
3865.6,0.40976
3866.5,0.41072
3867.4,0.40798
3868.3,0.4059
3869.2,0.40199
3870.1,0.39609
3871.0,0.38755
3871.9,0.37912
3872.8,0.3736
3873.7,0.37053
3874.6,0.37139
3875.5,0.37338
3876.4,0.37521
3877.3,0.37344
3878.2,0.36796
3879.1,0.36503
3880.0,0.36119
3880.9,0.3572
3881.8,0.35541
3882.7,0.35254
3883.6,0.34473
3884.5,0.33545
3885.4,0.32288
3886.3,0.30886
3887.2,0.29323
3888.1,0.28177
3889.0,0.27504
3889.9,0.27548
3890.8,0.28407
3891.7,0.2975
3892.6,0.31392
3893.5,0.33056
3894.4,0.34359
3895.3,0.35403
3896.2,0.36252
3897.1,0.37049
3898.0,0.37685
3898.9,0.38264
3899.8,0.38684
3900.7,0.39085
3901.6,0.39396
3902.51,0.3956
3903.41,0.39258
3904.31,0.39273
3905.21,0.39182
3906.11,0.3907
3907.01,0.39522
3907.91,0.40186
3908.81,0.41101
3909.71,0.42254
3910.61,0.43263
3911.51,0.4402
3912.41,0.44346
3913.31,0.44309
3914.21,0.4414
3915.11,0.43795
3916.01,0.43377
3916.91,0.42802
3917.81,0.42168
3918.71,0.41566
3919.61,0.40897
3920.51,0.40281
3921.41,0.39663
3922.31,0.39405
3923.21,0.39045
3924.11,0.38778
3925.01,0.38087
3925.91,0.37055
3926.81,0.35395
3927.71,0.33206
3928.61,0.30589
3929.51,0.27651
3930.41,0.24528
3931.31,0.21378
3932.21,0.18609
3933.11,0.16426
3934.01,0.15069
3934.91,0.14948
3935.81,0.15782
3936.71,0.17698
3937.61,0.20383
3938.51,0.23539
3939.42,0.26675
3940.32,0.29422
3941.22,0.31792
3942.12,0.33571
3943.02,0.34851
3943.92,0.35934
3944.82,0.36731
3945.72,0.3764
3946.62,0.3884
3947.52,0.39611
3948.42,0.40465
3949.32,0.41144
3950.22,0.41677
3951.12,0.41949
3952.02,0.422
3952.92,0.42221
3953.82,0.42486
3954.72,0.42314
3955.62,0.42236
3956.52,0.42062
3957.42,0.4163
3958.32,0.41106
3959.22,0.40222
3960.12,0.39272
3961.02,0.37797
3961.92,0.35841
3962.82,0.33666
3963.72,0.31147
3964.62,0.28645
3965.52,0.25623
3966.42,0.2276
3967.32,0.19982
3968.22,0.17679
3969.12,0.1628
3970.02,0.15863
3970.92,0.16575
3971.82,0.1834
3972.72,0.20847
3973.62,0.23727
3974.52,0.26802
3975.42,0.29738
3976.32,0.32494
3977.22,0.35018
3978.13,0.37336
3979.03,0.39318
3979.93,0.41122
3980.83,0.4215
3981.73,0.4315
3982.63,0.4375
3983.53,0.43964
3984.43,0.44365
3985.33,0.44884
3986.23,0.45309
3987.13,0.45599
3988.03,0.46225
3988.93,0.46988
3989.83,0.47375
3990.73,0.47944
3991.63,0.48385
3992.53,0.4861
3993.43,0.48847
3994.33,0.48675
3995.23,0.48743
3996.13,0.48178
3997.03,0.47726
3997.93,0.47861
3998.83,0.48005
3999.73,0.48383
4000.63,0.49026
4001.53,0.4987
4002.43,0.50226
4003.33,0.50208
4004.23,0.49673
4005.13,0.49141
4006.03,0.48506
4006.93,0.48255
4007.83,0.48272
4008.73,0.48945
4009.63,0.49678
4010.53,0.50382
4011.43,0.50848
4012.33,0.5112
4013.23,0.51451
4014.13,0.51807
4015.03,0.51761
4015.93,0.51816
4016.84,0.52056
4017.74,0.51928
4018.64,0.5218
4019.54,0.52336
4020.44,0.52683
4021.34,0.52624
4022.24,0.52747
4023.14,0.5259
4024.04,0.52636
4024.94,0.52591
4025.84,0.52445
4026.74,0.52865
4027.64,0.52878
4028.54,0.52963
4029.44,0.52273
4030.34,0.51032
4031.24,0.50104
4032.14,0.48953
4033.04,0.48393
4033.94,0.48342
4034.84,0.4883
4035.74,0.49879
4036.64,0.51199
4037.54,0.52717
4038.44,0.53597
4039.34,0.5417
4040.24,0.54067
4041.14,0.53796
4042.04,0.52974
4042.94,0.52
4043.84,0.50768
4044.74,0.49555
4045.64,0.487
4046.54,0.48378
4047.44,0.48356
4048.34,0.49542
4049.24,0.50567
4050.14,0.51673
4051.04,0.52553
4051.94,0.52797
4052.84,0.52868
4053.74,0.51932
4054.65,0.5148
4055.55,0.50684
4056.45,0.50311
4057.35,0.49842
4058.25,0.49976
4059.15,0.50006
4060.05,0.50072
4060.95,0.50124
4061.85,0.50031
4062.75,0.49618
4063.65,0.4895
4064.55,0.48421
4065.45,0.48305
4066.35,0.48581
4067.25,0.49219
4068.15,0.49783
4069.05,0.50416
4069.95,0.50468
4070.85,0.50631
4071.75,0.50418
4072.65,0.50257
4073.55,0.5001
4074.45,0.49478
4075.35,0.48955
4076.25,0.48214
4077.15,0.47686
4078.05,0.47144
4078.95,0.47067
4079.85,0.47824
4080.75,0.48789
4081.65,0.49445
4082.55,0.50141
4083.45,0.50842
4084.35,0.50841
4085.25,0.51042
4086.15,0.51289
4087.05,0.51845
4087.95,0.52276
4088.85,0.52937
4089.75,0.53228
4090.65,0.5333
4091.55,0.52909
4092.45,0.52377
4093.36,0.51712
4094.26,0.50941
4095.16,0.49795
4096.06,0.48544
4096.96,0.46899
4097.86,0.45332
4098.76,0.43393
4099.66,0.41697
4100.56,0.39788
4101.46,0.38242
4102.36,0.37439
4103.26,0.37356
4104.16,0.38232
4105.06,0.40118
4105.96,0.41922
4106.86,0.43833
4107.76,0.45415
4108.66,0.46791
4109.56,0.4751
4110.46,0.48002
4111.36,0.4874
4112.26,0.49367
4113.16,0.49987
4114.06,0.50839
4114.96,0.51432
4115.86,0.51837
4116.76,0.52188
4117.66,0.52289
4118.56,0.51687
4119.46,0.51396
4120.36,0.51204
4121.26,0.51207
4122.16,0.51287
4123.06,0.51017
4123.96,0.51518
4124.86,0.51659
4125.76,0.51613
4126.66,0.51795
4127.56,0.51555
4128.46,0.51237
4129.36,0.5088
4130.26,0.50628
4131.17,0.49924
4132.06,0.49781
4132.97,0.49424
4133.87,0.49474
4134.77,0.49619
4135.67,0.50528
4136.57,0.51468
4137.47,0.52391
4138.37,0.53345
4139.27,0.53824
4140.17,0.54059
4141.07,0.53456
4141.97,0.5271
4142.87,0.51802
4143.77,0.50958
4144.67,0.50516
4145.57,0.50484
4146.47,0.50835
4147.37,0.51327
4148.27,0.51909
4149.17,0.52019
4150.07,0.52042
4150.97,0.5192
4151.87,0.51615
4152.77,0.51421
4153.67,0.51114
4154.57,0.50858
4155.47,0.50824
4156.37,0.50808
4157.27,0.50926
4158.17,0.51534
4159.07,0.51902
4159.97,0.52682
4160.87,0.53234
4161.77,0.53691
4162.67,0.54045
4163.57,0.5416
4164.47,0.54634
4165.37,0.54035
4166.27,0.54063
4167.17,0.53563
4168.07,0.53304
4168.98,0.52514
4169.88,0.52021
4170.78,0.51175
4171.68,0.50848
4172.58,0.49834
4173.48,0.48946
4174.38,0.48389
4175.28,0.48467
4176.18,0.48577
4177.08,0.49001
4177.98,0.49387
4178.88,0.49709
4179.78,0.50394
4180.68,0.50604
4181.58,0.51085
4182.48,0.51383
4183.38,0.51392
4184.28,0.51598
4185.18,0.51625
4186.08,0.51603
4186.98,0.51408
4187.88,0.51348
4188.78,0.51571
4189.68,0.51579
4190.58,0.51937
4191.48,0.52258
4192.38,0.52672
4193.28,0.53073
4194.18,0.53218
4195.08,0.5306
4195.98,0.52173
4196.88,0.51583
4197.78,0.50733
4198.68,0.49863
4199.58,0.49396
4200.48,0.49337
4201.38,0.49119
4202.28,0.49317
4203.18,0.49703
4204.08,0.50344
4204.98,0.50751
4205.88,0.51346
4206.79,0.52107
4207.69,0.52606
4208.59,0.53381
4209.49,0.53825
4210.39,0.54054
4211.29,0.53976
4212.19,0.53991
4213.09,0.53809
4213.99,0.53394
4214.89,0.52836
4215.79,0.52496
4216.69,0.52371
4217.59,0.52647
4218.49,0.53012
4219.39,0.53476
4220.29,0.54186
4221.19,0.54234
4222.09,0.5403
4222.99,0.52866
4223.89,0.51373
4224.79,0.49528
4225.69,0.47744
4226.59,0.46442
4227.49,0.45858
4228.39,0.46242
4229.29,0.47415
4230.19,0.49291
4231.09,0.50676
4231.99,0.51971
4232.89,0.52595
4233.79,0.52641
4234.69,0.52342
4235.59,0.51717
4236.49,0.51388
4237.39,0.51241
4238.29,0.5109
4239.19,0.51249
4240.09,0.51537
4240.99,0.52242
4241.89,0.52754
4242.79,0.53546
4243.69,0.53904
4244.59,0.54092
4245.5,0.54322
4246.4,0.53783
4247.3,0.53243
4248.2,0.52396
4249.1,0.51818
4250.0,0.51482
4250.9,0.51038
4251.8,0.51031
4252.7,0.51356
4253.6,0.51625
4254.5,0.5181
4255.4,0.52255
4256.3,0.52358
4257.2,0.52471
4258.1,0.52145
4259.0,0.51814
4259.9,0.51474
4260.8,0.51277
4261.7,0.51563
4262.6,0.5188
4263.5,0.52912
4264.4,0.54001
4265.3,0.54511
4266.2,0.54906
4267.1,0.55012
4268.0,0.54404
4268.9,0.53325
4269.8,0.51898
4270.7,0.50447
4271.6,0.49307
4272.5,0.48243
4273.4,0.47944
4274.3,0.48024
4275.2,0.48557
4276.1,0.49636
4277.0,0.50856
4277.9,0.51526
4278.8,0.52336
4279.7,0.52427
4280.6,0.52671
4281.5,0.52714
4282.4,0.52504
4283.31,0.51934
4284.21,0.51702
4285.11,0.51035
4286.01,0.50698
4286.91,0.49973
4287.81,0.49205
4288.71,0.48337
4289.61,0.47819
4290.51,0.47362
4291.41,0.47219
4292.31,0.47526
4293.21,0.48259
4294.11,0.48613
4295.01,0.48691
4295.91,0.48718
4296.81,0.48097
4297.71,0.46723
4298.61,0.45518
4299.51,0.44148
4300.41,0.42637
4301.31,0.41697
4302.21,0.41288
4303.11,0.41059
4304.01,0.41191
4304.91,0.41332
4305.81,0.41268
4306.71,0.41087
4307.61,0.41
4308.51,0.40926
4309.41,0.40881
4310.31,0.41219
4311.21,0.42095
4312.11,0.43311
4313.01,0.44894
4313.91,0.46465
4314.81,0.48332
4315.71,0.5063
4316.61,0.52443
4317.51,0.53908
4318.41,0.55257
4319.31,0.56027
4320.21,0.56104
4321.12,0.5542
4322.02,0.54257
4322.92,0.5275
4323.82,0.51208
4324.72,0.49809
4325.62,0.48485
4326.52,0.48173
4327.42,0.48397
4328.32,0.49373
4329.22,0.50595
4330.12,0.51897
4331.02,0.52824
4331.92,0.53329
4332.82,0.53583
4333.72,0.53263
4334.62,0.52719
4335.52,0.5143
4336.42,0.50107
4337.32,0.47558
4338.22,0.45137
4339.12,0.42888
4340.02,0.40937
4340.92,0.3983
4341.82,0.39568
4342.72,0.40396
4343.62,0.41881
4344.52,0.4396
4345.42,0.45993
4346.32,0.48045
4347.22,0.4975
4348.12,0.5072
4349.02,0.51537
4349.92,0.51779
4350.82,0.51557
4351.72,0.50967
4352.62,0.50749
4353.52,0.50398
4354.42,0.51145
4355.32,0.5158
4356.22,0.52189
4357.12,0.53151
4358.02,0.53847
4358.92,0.5451
4359.83,0.54806
4360.73,0.5526
4361.63,0.55852
4362.53,0.56396
4363.43,0.57202
4364.33,0.57356
4365.23,0.57547
4366.13,0.57332
4367.03,0.57335
4367.93,0.56846
4368.83,0.56076
4369.73,0.55797
4370.63,0.55193
4371.53,0.54799
4372.43,0.54513
4373.33,0.5383
4374.23,0.5359
4375.13,0.53361
4376.03,0.53202
4376.93,0.53615
4377.83,0.54056
4378.73,0.54627
4379.63,0.54928
4380.53,0.54442
4381.43,0.53892
4382.33,0.52461
4383.23,0.50896
4384.13,0.4958
4385.03,0.48784
4385.93,0.48624
4386.83,0.49222
4387.73,0.50289
4388.63,0.51024
4389.53,0.5188
4390.43,0.52587
4391.33,0.53309
4392.23,0.53462
4393.13,0.53756
4394.03,0.54232
4394.93,0.54616
4395.83,0.54774
4396.73,0.55261
4397.64,0.55429
4398.54,0.55297
4399.44,0.55439
4400.34,0.55193
4401.24,0.54667
4402.14,0.5433
4403.04,0.53926
4403.94,0.53481
4404.84,0.52963
4405.74,0.52741
4406.64,0.52895
4407.54,0.52926
4408.44,0.53474
4409.34,0.54342
4410.24,0.55125
4411.14,0.55928
4412.04,0.56595
4412.94,0.56984
